,max_df,max_features,min_df,random_state,train_score,test_score
219,1.0,1000,2,1,0.7470588235294118,0.6801007556675063
220,1.0,1000,2,42,0.7403361344537815,0.663727959697733
221,1.0,1000,2,1337,0.7365546218487395,0.6851385390428212
222,1.0,2000,1,1,0.7978991596638656,0.690176322418136
223,1.0,2000,1,42,0.7827731092436975,0.6977329974811083
224,1.0,2000,1,1337,0.7785714285714286,0.7040302267002518
225,1.0,2000,2,1,0.7991596638655463,0.6914357682619647
226,1.0,2000,2,42,0.7836134453781513,0.6977329974811083
227,1.0,2000,2,1337,0.7794117647058824,0.7052896725440806
228,1.0,3000,1,1,0.795798319327731,0.6889168765743073
229,1.0,3000,1,42,0.7932773109243697,0.6926952141057935
230,1.0,3000,1,1337,0.7878151260504201,0.6851385390428212
231,1.0,3000,2,1,0.7978991596638656,0.6889168765743073
232,1.0,3000,2,42,0.7936974789915966,0.6914357682619647
233,1.0,3000,2,1337,0.7907563025210084,0.6863979848866498
234,1.0,4000,1,1,0.7970588235294118,0.6775818639798489
235,1.0,4000,1,42,0.7857142857142857,0.6851385390428212
236,1.0,4000,1,1337,0.784453781512605,0.6662468513853904
237,1.0,4000,2,1,0.7974789915966387,0.6775818639798489
238,1.0,4000,2,42,0.7861344537815126,0.6838790931989924
239,1.0,4000,2,1337,0.7810924369747899,0.6687657430730478
240,1.0,5000,1,1,0.7848739495798319,0.6649874055415617
241,1.0,5000,1,42,0.7668067226890757,0.6775818639798489
242,1.0,5000,1,1337,0.7672268907563026,0.654911838790932
243,1.0,5000,2,1,0.7857142857142857,0.6662468513853904
244,1.0,5000,2,42,0.7655462184873949,0.6763224181360201
245,1.0,5000,2,1337,0.7659663865546219,0.6511335012594458
246,1.0,8000,1,1,0.7243697478991596,0.6120906801007556
247,1.0,8000,1,42,0.7239495798319328,0.6259445843828715
248,1.0,8000,1,1337,0.7109243697478992,0.6007556675062973
249,1.0,8000,2,1,0.7310924369747899,0.6158690176322418
250,1.0,8000,2,42,0.7285714285714285,0.628463476070529
251,1.0,8000,2,1337,0.7100840336134454,0.6020151133501259
